Location,Location_tag_final
大稻埕碼頭,#單車漫遊#打卡熱點#浪漫約會
花東縱谷國家風景區-鶴岡遊客中心,#賞花#單車漫遊#國家風景區
愛河之心,#單車漫遊#賞夜景#浪漫約會
高雄85大樓,#觀景平台#賞夜景#打卡熱點
溪頭自然教育園區,#登山步道#觀景平台#親子共遊
綠島,#打卡熱點#夏天戲水#泡溫泉
茂林國家風景區-新威遊客中心,#無障礙#浪漫約會#國家風景區
北埔冷泉,#親子共遊
中台禪寺,#寺廟祈福
八斗子海濱公園 / 望幽谷,#賞夜景#地質奇觀
臺北市立動物園,#親子共遊
嘉義公園,#親子共遊
蘇澳冷泉,#親子共遊
臺北市藍色公路,#打卡熱點#看海景
羅東運動公園,#打卡熱點#親子共遊
高雄港,#看海景#打卡熱點
富岡地質公園(小野柳),#無障礙#地質奇觀#觀景平台
大溪老街,#逛老街#非吃不可
三仙台,#無障礙#迎曙光#打卡熱點
恆春古城,#古蹟巡禮
舞鶴觀光茶園,#打卡熱點
谷關風景特定區,#泡溫泉#親子共遊
西湖渡假村,#賞花#浪漫約會#親子共遊
瑞里風景區,#地質奇觀#登山步道
精明一街,#看展覽#打卡熱點
內灣小鎮,#逛老街#賞花#漫遊客庄
大安森林公園,#親子共遊
阿里山森林鐵路,#打卡熱點
國立歷史博物館,#博物館#看展覽
雙流國家森林遊樂區,#登山步道#夏天戲水
十三行博物館,#博物館#看展覽#打卡熱點
貓空纜車,#打卡熱點
二沙灣砲臺(海門天險),#古蹟巡禮
長春祠步道,#自然步道
福山植物園,#生態體驗
山后民俗文化村,#古蹟巡禮#看展覽
參山國家風景區-梨山遊客中心,#登山步道#迎曙光#賞花
美麗華百樂園,#浪漫約會#親子共遊#賞夜景
逢甲夜市,#打卡熱點#逛夜市#非吃不可
國立自然科學博物館,#親子共遊#博物館
二水,#單車漫遊#逛老街#登山步道
慈湖,#生態體驗
龍洞南口海洋公園(龍洞四季灣),#親子共遊#夏天戲水#無障礙
鼻頭角,#地質奇觀#登山步道#觀景平台
蘭潭風景區,#看展覽#打卡熱點
冬山河親水公園,#夏天戲水#親子共遊#無障礙
草山月世界,#地質奇觀#賞夜景#送夕陽
谷關溫泉,#泡溫泉#親子共遊#無障礙
祀典武廟,#寺廟祈福
龍洞灣,#親子共遊#夏天戲水#看海景
墾丁國家森林遊樂區,#地質奇觀#登山步道
阿美族民俗中心,#無障礙
佛光山,#寺廟祈福#打卡熱點#親子共遊
國立海洋生物博物館,#博物館#親子共遊#夏天戲水
澎湖跨海大橋,#打卡熱點
文台寶塔,#古蹟巡禮
小烏來風景特定區,#賞花#觀景平台
香蕉碼頭,#看海景#看展覽#親子共遊
國立臺灣史前文化博物館,#博物館#看展覽
清水斷崖,#打卡熱點#地質奇觀#觀景平台
大里天公廟,#寺廟祈福
淡水金色水岸,#逛老街#單車漫遊#送夕陽
嘉義文化路夜市,#逛夜市
信義商圈,#浪漫約會
角板山公園,#賞花#看展覽
基隆嶼,#登山步道#地質奇觀#賞花
霧社,#賞花
七股鹽山,#打卡熱點
基隆港,#賞夜景
瑞穗溫泉,#泡溫泉
蘇花公路,#打卡熱點
富源國家森林遊樂區,#登山步道#觀景平台#泡溫泉
翟山坑道,#打卡熱點#古蹟巡禮
北港朝天宮,#寺廟祈福
高雄孔廟,#寺廟祈福
龍門露營渡假基地(龍門露營區),#親子共遊#夏天戲水#看海景#無障礙
七美嶼,#看海景
新埔小鎮,#漫遊客庄
布洛灣台地,#生態體驗
西嶼西臺,#無障礙#古蹟巡禮
高雄農場,#親子共遊#夏天戲水
暖東峽谷,#登山步道
情人谷,#生態體驗
古寧頭戰史館,#古蹟巡禮
蘭嶼,#打卡熱點#地質奇觀
莒光樓,#打卡熱點#古蹟巡禮
鯉魚潭,#無障礙#打卡熱點#單車漫遊
秀姑巒溪,#生態體驗
二崁傳統聚落,#無障礙#古蹟巡禮
東海大學,#打卡熱點
壽山動物園,#親子共遊
國立科學工藝博物館,#博物館#看展覽#親子共遊
馬那邦山,#登山步道
大武崙砲臺,#古蹟巡禮
池南國家森林遊樂區,#登山步道#親子共遊
卑南遺址公園,#古蹟巡禮
太湖遊憩區,#親子共遊
金山溫泉,#泡溫泉
青草湖,#單車漫遊#夏天戲水
藤枝國家森林遊樂區,#登山步道#觀景平台#賞花
雲嘉南濱海國家風景區-北門遊客中心,#無障礙#看展覽
新北瑞芳-水金九地區礦山秘境,#逛老街#非吃不可
鹽寮海濱公園,#親子共遊#夏天戲水#觀景平台
光之穹頂,#打卡熱點#看展覽
行天宮,#寺廟祈福#打卡熱點
知本國家森林遊樂區,#登山步道
金門陶瓷廠,#博物館#看展覽
武陵農場,#賞花
九棚大沙漠,#地質奇觀
吉貝嶼,#看海景#夏天戲水#打卡熱點
國立國父紀念館,#看展覽#打卡熱點#親子共遊
北投文物館,#古蹟巡禮#看展覽#拍婚紗
貓空茶園,#賞夜景
墾丁牧場,#親子共遊
茂林國家風景區-禮納里遊客中心,#泡溫泉#無障礙
馬山觀測站,#古蹟巡禮
石梯坪,#地質奇觀
望安嶼,#打卡熱點#古蹟巡禮
后里馬場(暫時休園),#親子共遊
新屋綠色走廊,#單車漫遊#親子共遊
內洞國家森林遊樂區,#登山步道
桶盤嶼,#地質奇觀
建國假日花市、玉市,#賞花#親子共遊
寶來溫泉,#泡溫泉
臺北北投-磺泉玉露的風華小鎮,#泡溫泉#親子共遊#古蹟巡禮
國立臺灣美術館,#看展覽#博物館#看展覽#親子共遊
虎頭埤風景區,#親子共遊
關渡自然公園,#親子共遊
參山國家風景區-八卦山脈生態遊客中心,#無障礙#親子共遊#單車漫遊
大天后宮,#寺廟祈福#古蹟巡禮
東北角暨宜蘭海岸國家風景區-大里遊客中心,#地質奇觀#打卡熱點#看海景
剝皮寮老街,#逛老街#古蹟巡禮#打卡熱點
綠島朝日溫泉,#泡溫泉#迎曙光
南鯤鯓代天府(大鯤園),#寺廟祈福#古蹟巡禮
六十石山,#賞花#送夕陽#觀景平台
水往上流,#無障礙#地質奇觀
六福村主題遊樂園,#親子共遊#打卡熱點#夏天戲水
鳩之澤溫泉,#登山步道#泡溫泉
鹿港天后宮,#古蹟巡禮#寺廟祈福
西拉雅國家風景區,#地質奇觀#賞花#夏天戲水#泡溫泉#國家風景區
三峽清水祖師廟,#寺廟祈福
大板根森林溫泉渡假村,#泡溫泉#登山步道
坪林茶業博物館,#博物館#看展覽
飛牛牧場,#親子共遊
福壽山農場,#賞花#登山步道
高雄市立美術館,#看展覽#親子共遊#看展覽
高雄市立歷史博物館,#博物館#看展覽
奇美博物館,#博物館#打卡熱點#看展覽
萬金聖母聖殿,#古蹟巡禮
虎井嶼,#地質奇觀
石門洞,#地質奇觀#觀景平台#送夕陽
大雪山國家森林遊樂區,#登山步道#賞花#迎曙光
彰化鹿港-工藝、美食、古蹟,#古蹟巡禮#逛老街#寺廟祈福
鵝鑾鼻燈塔,#打卡熱點#看海景#燈塔
指南宮,#寺廟祈福
滿月圓國家森林遊樂區,#登山步道
凹仔底森林公園,#單車漫遊#賞花
小門嶼,#地質奇觀#打卡熱點
通梁古榕,#無障礙#寺廟祈福
七股潟湖,#送夕陽
八仙洞,#地質奇觀
中華夜市,#逛夜市#非吃不可
鹿港龍山寺,#古蹟巡禮#寺廟祈福
井仔腳瓦盤鹽田,#無障礙#親子共遊#送夕陽
八仙山國家森林遊樂區,#登山步道#賞花#無障礙
城市光廊,#看展覽#打卡熱點
險礁嶼,#夏天戲水#看海景
高雄美濃-美濃美意情濃,#漫遊客庄#賞花#古蹟巡禮
花博公園,#賞花#親子共遊#打卡熱點
鶯歌陶瓷博物館,#博物館#親子共遊#看展覽
王功漁港(王功漁火碼頭),#送夕陽#打卡熱點
義大遊樂世界,#打卡熱點#親子共遊
臺中民俗公園,#看展覽#親子共遊
金門國家公園,#古蹟巡禮#國家風景區
台江國家公園,#無障礙#國家風景區
安通溫泉,#泡溫泉
玉山國家公園-水里遊客中心,#登山步道#國家風景區
竹塹城迎曦門,#古蹟巡禮
集集鎮 - 火車印象‧踩風集集,#單車漫遊#古蹟巡禮
紅葉溫泉,#泡溫泉
瑞豐夜市,#逛夜市#非吃不可
法鼓山,#寺廟祈福
大溪花海農場,#親子共遊#賞花#打卡熱點#拍婚紗
國家兩廳院,#看展覽
大埔石刻,#古蹟巡禮
大龍峒保安宮,#寺廟祈福
小白沙嶼,#夏天戲水
鹿港民俗文物館,#打卡熱點#古蹟巡禮
國立傳統藝術中心,#打卡熱點#看展覽#看展覽#無障礙
不老溫泉,#泡溫泉
花蓮觀光糖廠,#親子共遊
臺中都會公園,#親子共遊#單車漫遊
埔心牧場,#親子共遊#賞花
興中觀光夜市,#逛夜市#非吃不可
五峰旗風景特定區,#打卡熱點#登山步道
石雨傘,#地質奇觀#觀景平台
曾文水庫,#登山步道#夏天戲水#親子共遊
芹壁村,#無障礙#賞夜景#打卡熱點
關渡碼頭,#單車漫遊#送夕陽
富岡漁港,#看海景#非吃不可
臺灣戲劇館,#博物館
池上牧野渡假村,#單車漫遊
烏來泰雅民族博物館,#博物館
大甲鎮瀾宮,#寺廟祈福
長虹橋,#生態體驗
清水巖祖師廟,#古蹟巡禮#寺廟祈福
枋寮褒忠亭義民廟,#寺廟祈福
臺中公園,#古蹟巡禮#親子共遊
八八坑道,#無障礙#打卡熱點
桃園大溪-獨一無二總統鎮,#古蹟巡禮#逛老街#非吃不可#浪漫約會
走馬瀨農場,#親子共遊#夏天戲水#單車漫遊
臺北孔廟,#古蹟巡禮
馬祖酒廠,#無障礙
東眼山國家森林遊樂區,#登山步道#觀景平台
宜蘭礁溪-溫泉養生樂活小城,#泡溫泉
南園,#打卡熱點
奧萬大國家森林遊樂區,#泡溫泉#登山步道
雪霸國家公園-汶水遊客中心,#登山步道#國家風景區#無障礙
扇平森林生態科學園,#生態體驗
風櫃斗,#賞花
十八王公廟,#寺廟祈福
十七公里海岸風景區,#打卡熱點#單車漫遊#送夕陽
草嶺風景區,#地質奇觀#登山步道
綠水合流步道,#地質奇觀
青山宮,#古蹟巡禮#寺廟祈福
麗寶樂園,#夏天戲水#親子共遊
原生植物園,#親子共遊
學海書院,#古蹟巡禮
嘉義樹木園,#生態體驗
砂卡礑步道,#觀景平台#地質奇觀
雲嘉南濱海國家風景區,#拍婚紗#親子共遊#打卡熱點#國家風景區
草悟道,#親子共遊#浪漫約會
貓囒山步道,#登山步道#迎曙光
臺北信義-聚焦國際的時尚之城,#登山步道#打卡熱點#看展覽
玻璃工藝博物館,#博物館#看展覽
成功漁港,#非吃不可#看海景#親子共遊
高雄燈塔(旗后燈塔),#古蹟巡禮#燈塔
參山國家風景區,#登山步道#賞花#國家風景區
西螺大橋,#賞花#送夕陽
鄞山寺,#寺廟祈福
壁山,#無障礙#登山步道#觀景平台
八里風帆碼頭,#夏天戲水#看展覽
梧棲觀光漁港,#親子共遊#送夕陽#非吃不可
枕戈待旦紀念公園,#無障礙
惠蓀林場,#賞花#登山步道#親子共遊
澎湖天后宮,#古蹟巡禮#寺廟祈福
苗栗三義-詩情畫意的木雕藝術城,#單車漫遊#博物館#看展覽
瓊麻工業歷史展示區,#古蹟巡禮
臺灣玻璃館,#看展覽#親子共遊
十八尖山,#登山步道
天主教玫瑰堂,#古蹟巡禮
光榮碼頭,#單車漫遊#打卡熱點
臺灣鹽博物館,#無障礙#博物館#親子共遊
芝山文化生態綠園,#親子共遊
金獅湖,#親子共遊
黑面琵鷺生態展示館,#觀景平台
草嶺古道,#打卡熱點#登山步道#賞花#觀景平台
松山慈祐宮,#寺廟祈福
鐵堡,#古蹟巡禮
西門紅樓,#古蹟巡禮
國立臺灣博物館,#博物館#親子共遊#看展覽
參山國家風景區-獅山遊客中心,#無障礙#賞花#漫遊客庄
東豐自行車綠廊,#單車漫遊#親子共遊
衛武營國家藝術文化中心,#看展覽#看展覽#打卡熱點
臺南天壇,#寺廟祈福#古蹟巡禮
西拉雅國家風景區-中埔遊客中心,#地質奇觀#賞花#夏天戲水#泡溫泉
八二三戰史館,#古蹟巡禮
淡水紅樹林自然保留區,#單車漫遊
三貂角,#拍婚紗#打卡熱點#觀景平台
花蓮瑞穗-養生溫泉泛舟樂、茶香乳香咖啡香,#泡溫泉
臺北植物園,#古蹟巡禮
順承門,#古蹟巡禮
烏山頭水庫風景區（珊瑚潭）,#無障礙
洲仔溼地公園,#生態體驗
尖山埤江南渡假村,#無障礙#親子共遊
邱良功母節孝坊,#古蹟巡禮
東嶽殿,#寺廟祈福#古蹟巡禮
新光兆豐休閒農場,#親子共遊#賞花
大溪蜜月灣,#夏天戲水
臺北小巨蛋,#看展覽
武荖坑風景區,#夏天戲水
恆春生態農場,#生態體驗
臺灣地理中心碑,#打卡熱點
花露休閒農場,#賞花#打卡熱點
臺北故事館,#古蹟巡禮#拍婚紗
劍湖山世界主題樂園,#親子共遊#夏天戲水
黃金博物館,#博物館#看展覽
內雙溪自然中心藥用植物園,#生態體驗
東海藝術街商圈,#打卡熱點#看展覽#看展覽
十八羅漢山,#地質奇觀
臺南安平-臺灣之名源自安平,#古蹟巡禮#單車漫遊#送夕陽
華山休閒農業區,#賞夜景#浪漫約會#登山步道
臺灣烏腳病醫療紀念館,#古蹟巡禮#看展覽
白楊步道,#地質奇觀#觀景平台
清泉風景特定區,#泡溫泉#登山步道
高雄巨蛋,#看展覽#打卡熱點
七股海產街,#非吃不可
日月潭文武廟,#寺廟祈福
澎湖國家風景區-澎湖遊客中心,#看海景#無障礙#夏天戲水#國家風景區
太魯閣國家公園-合歡山管理站,#登山步道
東隆文化中心,#看展覽
尖石巨木群,#生態體驗
田中森林公園,#登山步道
玉山國家公園-梅山遊客中心,#登山步道
光華觀光夜市,#逛夜市#非吃不可
臺中大甲-名列世界慶典的媽祖文化,#寺廟祈福
裡冷部落,#夏天戲水
八卦山大佛風景區,#無障礙#寺廟祈福#觀景平台
鄧麗君墓園(筠園),#親子共遊
國史館,#古蹟巡禮
虎頭山公園,#賞夜景#浪漫約會#登山步道
雲仙樂園,#親子共遊
日月潭伊達邵,#無障礙
元亨寺,#寺廟祈福
臺北當代藝術館,#看展覽#看展覽#親子共遊
金門金城-後浦古樸文化,#古蹟巡禮#單車漫遊
國立臺灣科學教育館,#親子共遊#看展覽
富貴角,#地質奇觀#賞花#打卡熱點
東部海岸國家風景區-花蓮遊客中心,#夏天戲水#單車漫遊
布袋觀光漁市,#非吃不可#看海景
白沙岬燈塔,#燈塔
臺南孔廟,#古蹟巡禮
小叮噹科學主題樂園,#親子共遊#夏天戲水
高雄都會公園,#親子共遊
林本源園邸(板橋林家花園),#古蹟巡禮
香格里拉樂園,#夏天戲水#親子共遊#登山步道#賞花
鐵砧山風景特定區,#登山步道#親子共遊
921地震教育園區,#親子共遊
馬祖國家風景區,#國家風景區
初鹿牧場,#親子共遊#打卡熱點
爺亨梯田,#生態體驗
臺北二二八和平公園,#親子共遊
黑面琵鷺保護區,#生態體驗
日月潭拉魯島,#打卡熱點
雪霸國家公園-武陵遊客中心,#登山步道
白米甕砲臺 (荷蘭城),#古蹟巡禮
8大森林樂園,#親子共遊
朱銘美術館,#看展覽#看展覽#親子共遊
臺北偶戲館,#看展覽
臺北市立天文科學教育館,#親子共遊
萊萊,#地質奇觀#觀景平台
援中港濕地公園,#生態體驗
霞喀羅國家步道,#登山步道
龍潭觀光大池,#浪漫約會
燕子口,#地質奇觀#觀景平台
參山國家風景區-南庄遊客中心,#登山步道#賞花#漫遊客庄
頑皮世界野生動物園,#親子共遊
南化水庫,#生態體驗
布袋鹽場,#打卡熱點
基隆燈塔,#燈塔
霧鹿峽谷(天龍吊橋),#地質奇觀#泡溫泉
林安泰古厝民俗文物館,#拍婚紗
全球北回歸線標誌第十處,#打卡熱點
高雄市立電影館,#看展覽#看展覽
半屏湖溼地公園,#觀景平台#登山步道
鹽水武廟,#寺廟祈福
泰雅渡假村,#泡溫泉#親子共遊
日月潭涵碧步道,#無障礙
遠雄海洋公園,#親子共遊
火炎山自然保留區,#地質奇觀
國家文創禮品館,#看展覽
花東縱谷國家風景區-鹿野遊客中心,#賞花#單車漫遊
國聖港燈塔,#賞夜景#燈塔#打卡熱點
陽明書屋,#看展覽#打卡熱點
臺北探索館,#看展覽
小墾丁渡假村,#夏天戲水#親子共遊
武陵國家森林遊樂區,#登山步道#賞花
臺東森林公園,#單車漫遊
九曲巷,#逛老街
林投公園,#無障礙#親子共遊
自來水園區-自來水博物館,#博物館#古蹟巡禮#親子共遊#夏天戲水
金樽遊憩區,#觀景平台#無障礙
蘇澳燈塔,#燈塔
利吉惡地,#地質奇觀
好美寮自然保護區,#生態體驗
影像博物館,#博物館
馬武督探索森林,#登山步道#親子共遊
富貴角燈塔,#打卡熱點#看海景#燈塔
順益臺灣原住民博物館,#博物館#看展覽
忠孝觀光夜市,#逛夜市#非吃不可
九九峰自然保留區,#地質奇觀
關山親水公園,#單車漫遊#親子共遊#夏天戲水#觀景平台
宜蘭昭應宮,#古蹟巡禮#寺廟祈福
清泉溫泉,#泡溫泉
仁義潭水庫,#送夕陽
太武山,#古蹟巡禮
新客家文化園區,#親子共遊
大坡池,#無障礙#單車漫遊
太平洋公園,#單車漫遊#親子共遊#夏天戲水
鰲鼓溼地,#生態體驗
利稻,#生態體驗
民俗文物館,#無障礙
新竹州廳(新竹市政府),#古蹟巡禮
嘉義市立博物館,#博物館#看展覽
三貂角燈塔,#打卡熱點#拍婚紗#燈塔
臺北市立美術館,#看展覽#看展覽#親子共遊
雲台山,#無障礙#登山步道
石門古戰場,#古蹟巡禮
鹿谷鄉農會茶葉文化館,#看展覽#親子共遊
金門慈湖慈堤,#生態體驗
鳳凰谷鳥園生態園區,#親子共遊#登山步道
碧山巖開漳聖王廟,#寺廟祈福#賞夜景
臺北霞海城隍廟,#寺廟祈福#古蹟巡禮
理學堂大書院(牛津學堂),#古蹟巡禮
靜思精舍,#寺廟祈福
東引島燈塔,#送夕陽#看海景#燈塔
大肚溪口野生動物保護區,#生態體驗
風櫃洞,#地質奇觀#打卡熱點
奇萊鼻燈塔,#燈塔
目斗嶼,#地質奇觀
石岡水壩,#單車漫遊
塭子頭紅樹林生態保護區,#生態體驗
松柏嶺森林公園,#登山步道#親子共遊
嘉義市立文化中心,#博物館#看展覽#看展覽
錦屏溫泉,#泡溫泉
仁山植物園,#觀景平台#登山步道
參山國家風景區-松柏嶺遊客中心,#寺廟祈福#登山步道#單車漫遊
玉山國家公園-南安遊客中心,#登山步道
芳苑燈塔,#燈塔#看海景
東莒島燈塔,#燈塔
松山文創園區,#打卡熱點#親子共遊#看展覽
世界宗教博物館,#博物館#看展覽#親子共遊
陽明海洋文化藝術館,#看展覽#看展覽#親子共遊
半邊井,#逛老街
嘉義市史蹟資料館,#古蹟巡禮#看展覽
吳沙故居,#古蹟巡禮
彰化孔子廟,#古蹟巡禮#寺廟祈福
麻豆代天府,#寺廟祈福#親子共遊
八通關古道,#登山步道#古蹟巡禮
高雄市天文教育館,#親子共遊
蕃薯寮,#地質奇觀
東河休閒農場,#登山步道
琉球嶼燈塔(白燈塔),#燈塔
日月潭慈恩塔,#登山步道
嵵裡沙灘,#夏天戲水#親子共遊
牛軋糖博物館,#博物館#親子共遊
礁溪協天廟,#寺廟祈福
觀音亭,#古蹟巡禮#夏天戲水#送夕陽
白蘭氏健康博物館,#博物館
駁二藝術特區,#看展覽#看展覽#打卡熱點
大坵島,#生態體驗#古蹟巡禮
姑婆嶼,#地質奇觀
高雄市立文化中心,#看展覽
禪光寺,#寺廟祈福
國立海洋科技博物館,#親子共遊#博物館#看展覽#無障礙
臺中市港區藝術中心,#看展覽#看展覽
員貝嶼,#地質奇觀
磺溪書院,#古蹟巡禮
臺中孔廟,#寺廟祈福
大佳碼頭,#單車漫遊
張連昌薩克斯風博物館‧觀光工廠,#看展覽#博物館#看展覽
鯉魚山公園,#登山步道#觀景平台
彭佳嶼燈塔,#燈塔
美崙山,#親子共遊#登山步道
日月潭玄奘寺,#寺廟祈福#登山步道
高雄市立音樂館,#看展覽#打卡熱點
客家大院,#漫遊客庄
北回歸線標誌公園,#打卡熱點
許新旺陶瓷紀念博物館,#博物館
南方澳南天宮,#寺廟祈福
向陽國家森林遊樂區,#國家風景區
寶藏寺,#古蹟巡禮#登山步道#親子共遊
牛耳藝術渡假村,#看展覽#賞花
淡水港燈塔,#燈塔
漁翁島燈塔,#無障礙#古蹟巡禮#打卡熱點#燈塔
永靖餘三館,#古蹟巡禮
臺灣府城隍廟,#寺廟祈福#古蹟巡禮
安平燈塔,#燈塔
國立臺灣藝術教育館,#看展覽#看展覽
佛光山佛陀紀念館,#看展覽#打卡熱點#親子共遊
臺中港燈塔,#燈塔
日月潭玄光寺,#無障礙#寺廟祈福
鼻頭角燈塔,#燈塔
塭港堆燈塔,#燈塔
野柳燈塔,#燈塔
杉原,#夏天戲水#親子共遊
意樓,#逛老街
海山館,#古蹟巡禮
國立臺灣工藝研究發展中心,#看展覽#親子共遊
球子山燈塔,#燈塔
烏坵嶼燈塔,#燈塔
將軍澳嶼,#地質奇觀
北海岸及觀音山國家風景區-和平島遊客中心,#地質奇觀#夏天戲水#拍婚紗
花蓮港燈塔,#燈塔
鹿港文武廟,#古蹟巡禮#寺廟祈福
十宜樓,#逛老街
特有生物研究保育中心,#親子共遊
木生昆蟲博物館,#博物館#親子共遊
四四南村,#打卡熱點#親子共遊
目斗嶼燈塔,#燈塔
東吉嶼燈塔,#燈塔
Satokoay（舞鶴）遺址,#古蹟巡禮
紅毛港文化園區,#看展覽#打卡熱點
王英信美術館,#看展覽
蘭嶼燈塔,#燈塔
古龍頭振威第,#古蹟巡禮
高美燈塔,#燈塔
七美嶼燈塔,#燈塔
東椗島燈塔,#燈塔
查母嶼燈塔,#燈塔
金山老街,#逛老街#非吃不可
北椗島燈塔,#燈塔
花嶼燈塔,#燈塔
澎湖生活博物館,#博物館
貓鼻頭,#打卡熱點
北埔老街,#無障礙#逛老街#古蹟巡禮
陽明山中山樓,#古蹟巡禮#賞花#看展覽
潮境公園,#無障礙#打卡熱點#單車漫遊
鹿野觀光茶園,#生態體驗
茶二指故事館,#親子共遊
農科園區觀賞水族動物展示廳,#親子共遊
深坑老街,#逛老街#非吃不可
女王頭,#地質奇觀#打卡熱點
老梅綠石槽,#地質奇觀#打卡熱點#拍婚紗
雪霸國家公園-雪見遊憩區,#登山步道
南庄老街,#逛老街#漫遊客庄#非吃不可
彩虹眷村,#打卡熱點
太平雲梯,#送夕陽#賞夜景#打卡熱點
國立故宮博物院南部院區,#看展覽#打卡熱點#博物館#無障礙
湖口老街,#逛老街
華山1914文化創意產業園區,#打卡熱點#看展覽#拍婚紗
臺中國家歌劇院,#打卡熱點#看展覽#看展覽
小烏來天空步道,#打卡熱點
竹圍漁港,#送夕陽#非吃不可#看海景
光點台北,#古蹟巡禮#看展覽
壯圍沙丘旅遊服務園區,#無障礙#親子共遊#單車漫遊
